timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727273257017,849,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-28,text,true,,7333,952,50,50,https://blazedemo.com/reserve.php,749,0,0
1727273256016,849,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-28,,true,,7333,952,50,50,null,749,1001,0
1727273257262,639,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-19,text,true,,7333,952,50,50,https://blazedemo.com/reserve.php,594,0,0
1727273256261,639,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,7333,952,50,50,null,594,1001,0
1727273257092,836,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-14,text,true,,6715,999,50,50,https://blazedemo.com/purchase.php,788,0,0
1727273255590,836,Choose_Flight & Purchase,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,6715,999,50,50,null,788,1502,0
1727273255139,2823,https://blazedemo.com/,200,OK,Thread Group 1-32,text,true,,4757,836,50,50,https://blazedemo.com/,2818,0,499
1727273254137,2823,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-32,,true,,4757,836,50,50,null,2818,1003,499
1727273256950,1033,https://blazedemo.com/,200,OK,Thread Group 1-41,text,true,,4757,836,50,50,https://blazedemo.com/,940,0,114
1727273255938,1033,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-41,,true,,4757,836,50,50,null,940,1012,114
1727273257278,711,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-25,text,true,,6715,999,50,50,https://blazedemo.com/purchase.php,641,0,0
1727273255777,711,Choose_Flight & Purchase,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-25,,true,,6715,999,50,50,null,641,1501,0
1727273256539,1454,https://blazedemo.com/,200,OK,Thread Group 1-39,text,true,,4757,836,50,50,https://blazedemo.com/,1403,0,252
1727273255538,1454,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-39,,true,,4757,836,50,50,null,1403,1001,252
1727273257538,633,https://blazedemo.com/,200,OK,Thread Group 1-44,text,true,,4757,836,50,50,https://blazedemo.com/,401,0,115
1727273256537,633,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-44,,true,,4757,836,50,50,null,401,1001,115
1727273257843,334,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-37,text,true,,7333,952,50,50,https://blazedemo.com/reserve.php,271,0,0
